Jumlah Penduduk Kota Surakarta Semester 1 Tahun 2024,,
Kelurahan,Jumlah Penduduk,Jumlah KK
Pajang,25904,8619
Laweyan,2109,705
Bumi,6352,2137
Panularan,9696,3326
Penumping,3937,1373
Sriwedari,3911,1368
Purwosari,10309,3551
Sondakan,12395,4176
Kerten,9538,3217
Jajar,9471,3206
Karangasem,10618,3476
Joyotakan,8142,2754
Danukusuman,10172,3549
Serengan,10974,3827
Tipes,12378,4301
Kratonan,5475,1896
Jayengan,3937,1385
Kemlayan,3761,1320
Joyosuran,10737,3648
Semanggi,23499,7745
Pasarkliwon,5597,1891
Gajahan,3909,1380
Baluwarti,6545,2262
Kampungbaru,3011,1101
Kedunglumbu,5478,1927
Sangkrah,12756,4370
Kauman,2662,893
Mojo,14535,4735
Kepatihan Kulon,2551,909
Kepatihan Wetan,2600,937
Sudiroprajan,3799,1400
Gandekan,9123,3238
Sewu,7186,2499
Pucangsawit,14514,4896
Jagalan,12224,4281
Purwodiningratan,4975,1761
Tegalharjo,5086,1801
Jebres,33915,11513
Mojosongo,55411,18380
Kadipiro,25067,8232
Nusukan,31443,10937
Gilingan,20846,7236
Setabelan,4118,1458
Kestalan,2862,1035
Keprabon,2990,1061
Timuran,2877,1038
Ketelan,3493,1232
Punggawan,4327,1533
Mangkubumen,9879,3454
Manahan,11942,3908
Sumber,19024,6357
Banyuanyar,15794,5052
Banjarsari,20586,6569
Joglo,13979,4705
